job_id,job_title,salary_usd,employment_type,company_location,is_remote,employee_location,job_skills,degree_required,posting_date,company_name,salary_tier,has_target,degree_flag
7459,Data Analyst,110000,Full-time,United States,True,"New York, United States","['sql', 't-sql', 'sql server', 'power bi', 'dax', 'excel', 'ssis']",False,2023-12-21,Trinity Solar Careers,High,True,no degree required
7468,Data Analyst,90000,Full-time,United States,False,"New York, United States","['sql', 'python', 'go', 'tableau']",False,2023-06-08,Madison Square Garden Network,Mid,True,no degree required
7521,Data Analyst,75000,Full-time,United States,True,Georgia,"['excel', 'powerpoint']",False,2023-11-24,Get It Recruit - Information Technology,Mid,False,no degree required
7564,Data Analyst,102500,Full-time,United States,True,"Florida, United States","['sql', 'power bi', 'tableau']",False,2023-06-25,Get It Recruit - Information Technology,High,True,no degree required
7629,Data Analyst,83908,Full-time,United States,False,"California, United States","['r', 'tableau', 'excel']",True,2023-08-11,Alameda County Community Food Bank,Mid,True,no degree required
7844,Data Analyst,87900,Full-time,Sudan,False,Sudan,"['oracle', 'tableau', 'word', 'excel']",False,2023-03-18,Sandia Laboratory Federal Credit Union,Mid,True,no degree required
7906,Data Analyst,94199,Full-time,United States,False,"New York, United States",['power bi'],True,2023-11-24,Federal Energy Regulatory Commission,Mid,False,no degree required
7917,Data Analyst,50000,Full-time,United States,False,Georgia,"['sql', 'excel']",False,2023-03-10,Orkin,Low,True,no degree required
7929,Data Analyst,90000,Full-time,United States,True,"New York, United States","['sql', 'python', 'r', 'looker', 'tableau']",True,2023-01-10,Motion Recruitment,Mid,True,no degree required
7932,Data Analyst,70000,Full-time,United States,True,"New York, United States","['sql', 'python', 'r', 'tableau', 'power bi']",False,2023-05-30,Zelo Digital Recruitment,Mid,True,no degree required
7972,Data Analyst,56000,Full-time,United States,False,"New York, United States","['c', 'sql', 'excel', 'powerpoint', 'word', 'outlook', 'spss', 'tableau']",False,2023-07-12,New York Medical College,Mid,True,no degree required
8003,Data Analyst,35000,Full-time,United States,False,Georgia,"['sheets', 'excel']",True,2023-11-11,United Energy Solar,Low,False,no degree required
8048,Data Analyst,90000,Full-time,United States,False,"New York, United States","['sql', 'javascript', 'sas', 'sas', 'excel', 'spss', 'powerpoint', 'word', 'outlook']",False,2023-07-21,International SOS Ltd,Mid,True,no degree required
8109,Data Analyst,115000,Full-time,United States,False,"New York, United States","['sql', 'python', 'r', 'powerpoint', 'qlik', 'tableau']",False,2023-08-22,Booz Allen Hamilton,High,True,no degree required
8123,Data Analyst,85000,Full-time,United States,False,"Florida, United States","['sql', 'power bi', 'tableau']",False,2023-06-20,Relevante,Mid,True,no degree required
8205,Data Analyst,125000,Full-time,United States,False,"Texas, United States","['sql', 'python', 'r', 'tableau']",False,2023-08-03,Meta,High,True,no degree required
8315,Data Analyst,53500,Full-time,United States,False,"New York, United States","['excel', 'power bi']",False,2023-04-17,Coda Search│Staffing,Mid,False,no degree required
8328,Data Analyst,94000,Full-time,United States,False,Georgia,"['sql', 'python', 'sql server', 'oracle', 'azure', 'hadoop', 'spark', 'power bi', 'docker', 'jira']",False,2023-02-09,Datum Software Inc.,Mid,True,no degree required
8397,Data Analyst,94871,Full-time,United States,True,"New York, United States","['python', 'r']",False,2023-08-25,Protect Democracy,Mid,True,no degree required
8434,Data Analyst,90000,Full-time,United States,False,"Texas, United States","['sql', 'r', 'python', 'shell', 'postgresql', 'git']",False,2023-03-28,"TRINITY HEALTHCARE RESOURCES, LLC",Mid,True,no degree required
8455,Data Analyst,68000,Full-time,United States,False,"New York, United States",['sql'],False,2023-01-14,Kelberman Center,Mid,True,no degree required
8510,Data Analyst,62500,Full-time,United States,False,"New York, United States","['sql', 'excel', 'tableau']",False,2023-03-14,Brooksource,Mid,True,no degree required
8512,Data Analyst,75000,Full-time,United States,False,"New York, United States","['sql', 'excel', 'power bi']",False,2023-10-23,ExecuSource,Mid,True,no degree required
8513,Data Analyst,88500,Full-time,United States,False,"Florida, United States","['go', 'sql', 'excel', 'powerpoint', 'looker']",False,2023-05-12,DIGITAL MEDIA SOLUTIONS,Mid,True,no degree required
8538,Data Analyst,90000,Full-time,United States,False,"Illinois, United States","['sql', 'tableau', 'power bi']",False,2023-12-06,Robert Half,Mid,True,no degree required
8574,Data Analyst,75000,Full-time,United States,False,"Florida, United States","['power bi', 'excel', 'flow']",False,2023-02-16,Venture Personnel,Mid,False,no degree required
8617,Data Analyst,100000,Full-time,United States,False,"Illinois, United States","['r', 'python', 'sql', 'power bi', 'dax']",False,2023-01-07,Advanced Hires,Mid,True,no degree required
8668,Data Analyst,102500,Contractor,United States,True,"Texas, United States","['sql', 'javascript', 'tableau']",True,2023-06-06,Insight Global,High,True,no degree required
8686,Data Analyst,95000,Full-time,United States,False,"Florida, United States","['sql', 'python', 'tableau', 'power bi']",False,2023-08-23,Quirch Foods,Mid,True,no degree required
8691,Data Analyst,90000,Full-time,United States,False,"Florida, United States","['r', 'python', 'java', 'sql', 'tableau']",False,2023-09-15,Insight Global,Mid,True,no degree required
8708,Data Analyst,73000,Full-time,United States,False,"New York, United States","['r', 'sas', 'sas', 'spss', 'excel', 'powerpoint']",False,2023-07-10,Community Sponsorship Hub,Mid,False,no degree required
8711,Data Analyst,70000,Full-time,United States,False,"California, United States","['sql', 'express', 'windows', 'macos', 'linux', 'outlook', 'zoom']",False,2023-10-24,The Los Angeles Film School,Mid,True,no degree required
8816,Data Analyst,87500,Full-time,United States,False,"Florida, United States",['sql'],False,2023-05-02,Vertex Solutions Inc.,Mid,True,no degree required
